0	0	Under construction!{mend}
16	0	SSSQUWAAAARRRRKKK!!!{wend(60)}
16	1	SSSQUWAAAARRRRKKK!!!{wend(60)}
17	0	SSSQUWAAAARRRRKKK!!!{wend(60)}
17	1	SSSQUWAAAARRRRKKK!!!{wend(60)}
31	0	Angggerrrrrr!!!{wend(60)}
31	1	Angggerrrrrr!!!{wend(60)}
31	2	Angggerrrrrr!!!{wend(60)}
32	0	Angggerrrrrr!!!{wend(60)}
32	1	Angggerrrrrr!!!{wend(60)}
32	2	Angggerrrrrr!!!{wend(60)}
33	0	Angggerrrrrr!!!{wend(60)}
33	1	Angggerrrrrr!!!{wend(60)}
33	2	Angggerrrrrr!!!{wend(60)}
150	0	Rrrriiiiipppp!!!\nRrrriiiiipppp!!!{wend(60)}
150	1	Rrrriiiiipppp!!!\nRrrriiiiipppp!!!{wend(60)}
151	0	Rrrriiiiipppp!!!\nRrrriiiiipppp!!!{wend(60)}
151	1	Rrrriiiiipppp!!!\nRrrriiiiipppp!!!{wend(60)}
152	0	Rrrriiiiipppp!!!\nRrrriiiiipppp!!!{wend(60)}
152	1	Rrrriiiiipppp!!!\nRrrriiiiipppp!!!{wend(60)}
153	0	Rrrriiiiipppp!!!\nRrrriiiiipppp!!!{wend(60)}
153	1	Rrrriiiiipppp!!!\nRrrriiiiipppp!!!{wend(60)}
153	2	Rrrriiiiipppp!!!\nRrrriiiiipppp!!!{wend(60)}
153	3	Rrrriiiiipppp!!!\nRrrriiiiipppp!!!{wend(60)}
187	0	Angggerrrrrr!!!{wend(60)}
187	1	Angggerrrrrr!!!{wend(60)}
187	2	Angggerrrrrr!!!{wend(60)}
188	0	Angggerrrrrr!!!{wend(60)}
188	1	Angggerrrrrr!!!{wend(60)}
188	2	Angggerrrrrr!!!{wend(60)}
189	0	Angggerrrrrr!!!{wend(60)}
189	1	Angggerrrrrr!!!{wend(60)}
189	2	Angggerrrrrr!!!{wend(60)}
241	0	Entry number 1...{wend(40)}
241	1	Entry number 2...{wend(40)}
241	2	Entry number 3...{wend(40)}
241	3	Entry number 4...{wend(40)}
241	4	Nice to meet you.{wend(40)}
241	5	Yo! I'm Amanda and I\nam 14 years old.{wend(120)}
241	6	I'm Renata and I'm a\n25-year-old Aries.{wend(120)}
241	7	I'm Movel. I'm 16,\nand I'm a Taurus.{wend(120)}
241	8	My name is Shannon.\nI'm a 14-year-old Gemini.{wend(120)}
241	9	Hi, I'm Gemma. I'm 10,\nand I'm a Cancer!{wend(120)}
241	10	Andrea is my name. I'm 14,\nand my star sign is Leo!{wend(120)}
241	11	Hello. I'm Marianella.\nI'm a Virgo, and I'm 15.{wend(120)}
241	12	Tina here! I'm 16,\nand a Libra.{wend(120)}
241	13	Hola, soy Arianna. Tengo 17 años.\nSoy del signo Escorpio.{wend(120)}
241	14	I'm Marijana, and I am\na 25-year-old Sagittarius.{wend(120)}
241	15	I am Jouraine. I am 14.\nI am a Capricorn.{wend(120)}
241	16	Hi! I'm Valentini.\nI'm an Aquarius, and I'm 15.{wend(120)}
241	17	Petra the Pisces here! I'm 16,\nand I love tall boys!{wend(120)}
241	18	Hi. Luz is the name...\nand luv is the game!{wait(40)}\nAnd if it matters, I'm 17!{wend(120)}
241	19	I'm Carolina, and I'm 10.\nWhen I grow up, I want to\nbe Miss Universe.{wend(120)}
241	20	I'm Cynthia. I'm 15 years\nof age, and a vegetarian.{wend(120)}
241	21	I'm Richard. I'm 29.\nAnd I'm here to protest\nbeauty pageant sexism!{wend(120)}
241	22	My hobby is\n{color(1)}Poison Gas{color(0)}!{wend(120)}
241	23	My favorite pastime\nis {color(1)}Volcano{color(0)}!{wend(120)}
241	24	My ambition is to\n{color(1)}Cure Plus{color(0)}!{wend(120)}
241	25	I like to\n{color(1)}Suck Blood{color(0)}!{wend(120)}
241	26	I do a mean\n{color(1)}Tornado{color(0)}!{wend(120)}
241	27	My future goal is\nto {color(1)}Fireball{color(0)}!{wend(120)}
241	28	My proudest accomplishment\nis the {color(1)}Black Hole{color(0)}!{wend(120)}
241	29	My favorite sport is\nthe {color(1)}Aqua Beam{color(0)}!{wend(120)}
241	30	I love to sing in the\n{color(1)}Black Rain{color(0)}!{wend(120)}
241	31	My specialty is\n{color(1)}Recover All{color(0)}!{wend(120)}
386	0	Radius:\nHoh-hoh-hoh... C'mon, {playwork(0)}!\nDon't hold back!{mend}
386	1	Radius:\nFirst, here's some basic advice on attacking, \nso listen up, young'un...{bpage}\nYou know that the three different attack levels \n-- Weak(1), Strong(2), and Fierce(3) -- \neach have differing accuracy, or \n“HIT%” values, don't you?{bpage}\nEvery time you hit your opponent, each of \nthese values increases, making it easier \nfor your next attack to hit its mark.{bpage}\nA good strategy is to start with Weak(1) blows, \nwhich have the highest chance of succeeding, \nand then build up to \nStrong(2) and Fierce(3) blows.{bpage}\nSo, rather than attacking willy-nilly,\nyou should aim to build up your HIT%.\nIf your Fierce(3) attacks don't hit home, \nyou're just wasting your energy!{mend}
386	2	Weak(1)!{wend(60)}
386	3	Strong(2)!!{wend(60)}
386	4	Fierce(3)!!!{wend(60)}
